"version","doi_eng","doi_fra","rebased"
"2000-07","doi:10.5683/SP3/0XGCQP","doi:10.5683/SP3/PCPDBZ","2006"
"2000-08","doi:10.5683/SP3/HWMYBW","doi:10.5683/SP3/ADNH9F","2006"
"2000-09","doi:10.5683/SP3/8SYUKG","doi:10.5683/SP3/7LP3HW","2006"
"2000-10","doi:10.5683/SP3/JGKIVL","doi:10.5683/SP3/OTQMGR","2006"
"2000-11","doi:10.5683/SP3/IVZZBY","doi:10.5683/SP3/UHYWXK","2006"
"2000-12","doi:10.5683/SP3/K0JMQ7","doi:10.5683/SP3/95HVTJ","2006"
"2001-01","doi:10.5683/SP3/E24VSQ","doi:10.5683/SP3/00TEWG","2011"
"2001-02","doi:10.5683/SP3/5MPSZS","doi:10.5683/SP3/NOVWK2","2011"
"2001-03","doi:10.5683/SP3/G9SFHI","doi:10.5683/SP3/QHFIMT","2011"
"2001-04","doi:10.5683/SP3/PLNZQV","doi:10.5683/SP3/EKVPPB","2011"
"2001-05","doi:10.5683/SP3/JZMIDJ","doi:10.5683/SP3/RL9BCT","2011"
"2001-06","doi:10.5683/SP3/FS7LI9","doi:10.5683/SP3/WUU8ZP","2011"
"2001-07","doi:10.5683/SP3/LJKYKS","doi:10.5683/SP3/DSCUKB","2011"
"2001-08","doi:10.5683/SP3/4WDBJE","doi:10.5683/SP3/EUFLKL","2011"
"2001-09","doi:10.5683/SP3/JYFR2F","doi:10.5683/SP3/SAV2Z5","2011"
"2001-10","doi:10.5683/SP3/37IXKD","doi:10.5683/SP3/MAWYJ6","2011"
"2001-11","doi:10.5683/SP3/ELY3AZ","doi:10.5683/SP3/JWVRYL","2011"
"2001-12","doi:10.5683/SP3/FDNVJM","doi:10.5683/SP3/MHQ6VO","2011"
"2002-01","doi:10.5683/SP3/WR2RNF","doi:10.5683/SP3/VLOTEX","2011"
"2002-02","doi:10.5683/SP3/ZHMM7V","doi:10.5683/SP3/UJXSMA","2011"
"2002-03","doi:10.5683/SP3/LZRPND","doi:10.5683/SP3/SDPM5R","2011"
"2002-04","doi:10.5683/SP3/IFYPMD","doi:10.5683/SP3/EILLFV","2011"
"2002-05","doi:10.5683/SP3/3RUTLT","doi:10.5683/SP3/PXOGNT","2011"
"2002-06","doi:10.5683/SP3/OGSXW6","doi:10.5683/SP3/9TGMSZ","2011"
"2002-07","doi:10.5683/SP3/I4C4NA","doi:10.5683/SP3/J9P1JO","2011"
"2002-08","doi:10.5683/SP3/J9WE2Y","doi:10.5683/SP3/KUP5KD","2011"
"2002-09","doi:10.5683/SP3/WENDR6","doi:10.5683/SP3/UYFD6A","2011"
"2002-10","doi:10.5683/SP3/UM8LWI","doi:10.5683/SP3/O953LB","2011"
"2002-11","doi:10.5683/SP3/FJGIXU","doi:10.5683/SP3/0MF4AK","2011"
"2002-12","doi:10.5683/SP3/M9MMHQ","doi:10.5683/SP3/ILIK8Y","2011"
"2003-01","doi:10.5683/SP3/PYPNVD","doi:10.5683/SP3/YR1IQR","2011"
"2003-02","doi:10.5683/SP3/GLRMFU","doi:10.5683/SP3/OW2MOD","2011"
"2003-03","doi:10.5683/SP3/4EICM8","doi:10.5683/SP3/J5EBGI","2011"
"2003-04","doi:10.5683/SP3/LHW77W","doi:10.5683/SP3/D4P9UD","2011"
"2003-05","doi:10.5683/SP3/GGA22Z","doi:10.5683/SP3/XFRMIM","2011"
"2003-06","doi:10.5683/SP3/Z3HONR","doi:10.5683/SP3/ODNIAI","2011"
"2003-07","doi:10.5683/SP3/ZWIE6U","doi:10.5683/SP3/NKQRSW","2011"
"2003-08","doi:10.5683/SP3/EZDOQZ","doi:10.5683/SP3/WLIAIC","2011"
"2003-09","doi:10.5683/SP3/J6YJ30","doi:10.5683/SP3/UKLZYT","2011"
"2003-10","doi:10.5683/SP3/EIRO9U","doi:10.5683/SP3/8U5MAV","2011"
"2003-11","doi:10.5683/SP3/0NJQIH","doi:10.5683/SP3/SRXKJY","2011"
"2003-12","doi:10.5683/SP3/HOJNVY","doi:10.5683/SP3/TPWFDM","2011"
"2004-01","doi:10.5683/SP3/S9TJ7K","doi:10.5683/SP3/RATH0Y","2011"
"2004-02","doi:10.5683/SP3/SM017K","doi:10.5683/SP3/2MNDBX","2011"
"2004-03","doi:10.5683/SP3/OARRTN","doi:10.5683/SP3/RFSMV4","2011"
"2004-04","doi:10.5683/SP3/RMRF0J","doi:10.5683/SP3/UUNKJJ","2011"
"2004-05","doi:10.5683/SP3/DHFSQJ","doi:10.5683/SP3/BTZR9E","2011"
"2004-06","doi:10.5683/SP3/CGHC8U","doi:10.5683/SP3/51PZVS","2011"
"2004-07","doi:10.5683/SP3/BYK8QG","doi:10.5683/SP3/OPPXF3","2011"
"2004-08","doi:10.5683/SP3/DPSOUR","doi:10.5683/SP3/2O0AUQ","2011"
"2004-09","doi:10.5683/SP3/ZYDWWW","doi:10.5683/SP3/RGJSES","2011"
"2004-10","doi:10.5683/SP3/EOLAJA","doi:10.5683/SP3/YTKYID","2011"
"2004-11","doi:10.5683/SP3/OIFMQL","doi:10.5683/SP3/LWIZDJ","2011"
"2004-12","doi:10.5683/SP3/WMHOJT","doi:10.5683/SP3/GX4HFM","2011"
"2005-01","doi:10.5683/SP3/FLBVGT","doi:10.5683/SP3/DNAPEL","2011"
"2005-02","doi:10.5683/SP3/NQ8APX","doi:10.5683/SP3/6Y1EH3","2011"
"2005-03","doi:10.5683/SP3/1EA6GW","doi:10.5683/SP3/08SMI8","2011"
"2005-04","doi:10.5683/SP3/IIAOBO","doi:10.5683/SP3/7RXPX5","2011"
"2005-05","doi:10.5683/SP3/BP0MMN","doi:10.5683/SP3/ZU0H1P","2011"
"2005-06","doi:10.5683/SP3/JAE1DN","doi:10.5683/SP3/5ZXIPF","2011"
"2005-07","doi:10.5683/SP3/JXVKMO","doi:10.5683/SP3/UEZZJ9","2011"
"2005-08","doi:10.5683/SP3/TOGCGR","doi:10.5683/SP3/JOPLXY","2011"
"2005-09","doi:10.5683/SP3/IRWIJ2","doi:10.5683/SP3/O5PML7","2011"
"2005-10","doi:10.5683/SP3/GFBDZX","doi:10.5683/SP3/Y6XAUN","2011"
"2005-11","doi:10.5683/SP3/XCCWTD","doi:10.5683/SP3/ZESPOK","2011"
"2005-12","doi:10.5683/SP3/LVB4YE","doi:10.5683/SP3/CWO8QJ","2011"
