"version","doi_eng","doi_fra","rebased"
"1981-09","doi:10.5683/SP3/F1O4YO","doi:10.5683/SP3/GZ3DPW",""
"1981-10","doi:10.5683/SP3/CSSBN8","doi:10.5683/SP3/SGW6EL",""
"1981-11","doi:10.5683/SP3/GRAQRW","doi:10.5683/SP3/7Z03NE",""
"1981-12","doi:10.5683/SP3/VVP1DC","doi:10.5683/SP3/NF0T6B",""
"1982-01","doi:10.5683/SP3/U2TL65","doi:10.5683/SP3/NC0D76",""
"1982-02","doi:10.5683/SP3/VZRMKK","doi:10.5683/SP3/XM8LO0",""
"1982-03","doi:10.5683/SP3/OJMPXA","doi:10.5683/SP3/F1ATL0",""
"1982-04","doi:10.5683/SP3/ZNG3ZH","doi:10.5683/SP3/HZDVJ4",""
"1982-05","doi:10.5683/SP3/2IWWED","doi:10.5683/SP3/WVJYHU",""
"1982-06","doi:10.5683/SP3/FNOG59","doi:10.5683/SP3/MKRBHB",""
"1982-07","doi:10.5683/SP3/DNLM0U","doi:10.5683/SP3/WUHKX1",""
"1982-08","doi:10.5683/SP3/BTXBUV","doi:10.5683/SP3/I5E6VF",""
"1982-09","doi:10.5683/SP3/NO2I6X","doi:10.5683/SP3/XOK6ZC",""
"1982-10","doi:10.5683/SP3/72LFIU","doi:10.5683/SP3/JMZE8Q",""
"1982-11","doi:10.5683/SP3/12WOAI","doi:10.5683/SP3/XQSEMF",""
"1982-12","doi:10.5683/SP3/9Z8W3N","doi:10.5683/SP3/CFLDVQ",""
"1983-01","doi:10.5683/SP3/O2KYXW","doi:10.5683/SP3/ZMYJEZ",""
"1983-02","doi:10.5683/SP3/EAHXDM","doi:10.5683/SP3/PSPXOG",""
"1983-03","doi:10.5683/SP3/FYWDLC","doi:10.5683/SP3/MOC30Y",""
"1983-04","doi:10.5683/SP3/EUBSES","doi:10.5683/SP3/ORZ6QN",""
"1983-05","doi:10.5683/SP3/LDU732","doi:10.5683/SP3/PJUMTX",""
"1983-06","doi:10.5683/SP3/YHK96E","doi:10.5683/SP3/63A07P",""
